budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
270000000, 12|  Adventure|  14|  Fantasy|  28|  Action|  878|  Science Fiction,http://www.superman.com,1452, 83|  saving the world|  849|  dc comics|  8872|  invulnerability|  9663|  sequel|  9715|  superhero|  9717|  based on comic book|  163420|  kryptonite|  163455|  super powers|  179102|  superhuman strength|  202526|  lex luthor,en,Superman Returns,Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free| and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever| as well as ridding himself of the Man of Steel.,57.925623, DC Comics|  429|  Legendary Pictures|  923|  Warner Bros.|  6194|  Bad Hat Harry Productions|  9168,28-06-2006,391081192,154, en|  English|  fr|  Fran\u00e7ais|  de|  Deutsch,Released,0,Superman Returns,5.4,1400
200000000, 12|  Adventure|  28|  Action|  53|  Thriller|  80|  Crime,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,10764, 627|  killing|  1568|  undercover|  4289|  secret agent|  156095|  british secret service,en,Quantum of Solace,Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper| the woman he loved| 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth| Bond and M interrogate Mr. White| who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.,107.928811, Eon Productions|  7576,30-10-2008,586090727,106, en|  English|  es|  Espa\u00f1ol|  it|  Italiano|  fr|  Fran\u00e7ais|  de|  Deutsch,Released,For love| for hate| for justice| for revenge.,Quantum of Solace,6.1,2965
200000000, 12|  Adventure|  14|  Fantasy|  28|  Action,http://disney.go.com/disneypictures/pirates/,58, 616|  witch|  663|  fortune teller|  910|  bondage|  911|  exotic island|  1299|  monster|  1316|  captain|  1317|  card game|  1319|  east india trading company|  1461|  compass|  3799|  ship|  5600|  daughter|  12988|  pirate|  157186|  swashbuckler|  179430|  aftercreditsstinger,en,Pirates of the Caribbean: Dead Man's Chest,Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones| he also attempts to avoid eternal damnation.,145.847379, Walt Disney Pictures|  2|  Jerry Bruckheimer Films|  130|  Second Mate Productions|  19936,20-06-2006,1065659812,151, en|  English|  tr|  T\u00fcrk\u00e7e|  el|  \u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac|  zh|  \u666e\u901a\u8bdd,Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000, 28|  Action|  12|  Adventure|  37|  Western,http://disney.go.com/the-lone-ranger/,57201, 1556|  texas|  2673|  horse|  5385|  survivor|  5901|  texas ranger|  9104|  partner|  9503|  outlaw|  10685|  escape|  10909|  lawyer|  13008|  train|  178867|  lone ranger|  179419|  comanche|  222787|  the lone ranger|  228232|  tonto,en,The Lone Ranger,The Texas Rangers chase down a gang of outlaws led by Butch Cavendish| but the gang ambushes the Rangers| seemingly killing them all. One survivor is found| however| by an American Indian named Tonto| who nurses him back to health. The Ranger| donning a mask and riding a white stallion named Silver| teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.,49.046956, Walt Disney Pictures|  2|  Jerry Bruckheimer Films|  130|  Infinitum Nihil|  2691|  Silver Bullet Productions (II)|  37380|  Blind Wink Productions|  37381|  Classic Media|  37382,03-07-2013,89289910,149, en|  English,Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
225000000, 28|  Action|  12|  Adventure|  14|  Fantasy|  878|  Science Fiction,http://www.manofsteel.com/,49521, 83|  saving the world|  849|  dc comics|  9715|  superhero|  9717|  based on comic book|  10761|  superhuman|  14909|  alien invasion|  161184|  reboot|  163455|  super powers|  229266|  dc extended universe,en,Man of Steel,A young boy learns that he has extraordinary powers and is not of this earth. As a young man| he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.,99.398009, Legendary Pictures|  923|  Warner Bros.|  6194|  DC Entertainment|  9993|  Syncopy|  9996|  Cruel and Unusual Films|  78685,12-06-2013,662845518,143, en|  English,Released,You will believe that a man can fly.,Man of Steel,6.5,6359
225000000, 12|  Adventure|  10751|  Family|  14|  Fantasy,0,2454, 818|  based on novel|  855|  fictional place|  1155|  brother sister relationship|  2043|  lion|  3714|  human being|  4391|  wretch|  4820|  leap in time|  5144|  matter of life and death|  6150|  faith|  6464|  uncle|  166930|  narnia|  170362|  fantasy world,en,The Chronicles of Narnia: Prince Caspian,One year after their incredible adventures in the Lion| the Witch and the Wardrobe| Peter| Edmund| Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now| with the help of a colorful cast of new characters| including Trufflehunter the badger and Nikabrik the dwarf| the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.,53.978602, Walt Disney|  5888|  Walden Media|  10221|  Stillking Films|  11345|  Ozumi Films|  11440|  Propeler|  11441|  Silverbell Films|  11442|  Revolution Sun Studios|  76043,15-05-2008,419651413,150, en|  English,Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000, 878|  Science Fiction|  28|  Action|  12|  Adventure,http://marvel.com/avengers_movie/,24428, 242|  new york|  5539|  shield|  8828|  marvel comic|  9715|  superhero|  9717|  based on comic book|  14909|  alien invasion|  155030|  superhero team|  179430|  aftercreditsstinger|  179431|  duringcreditsstinger|  180547|  marvel cinematic universe,en,The Avengers,When an unexpected enemy emerges and threatens global safety and security| Nick Fury| director of the international peacekeeping agency known as S.H.I.E.L.D.| finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe| a daring recruitment effort begins!,144.448633, Paramount Pictures|  4|  Marvel Studios|  420,25-04-2012,1519557910,143, en|  English,Released,Some assembly required.,The Avengers,7.4,11776
380000000, 12|  Adventure|  28|  Action|  14|  Fantasy,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865, 658|  sea|  1316|  captain|  1860|  mutiny|  1938|  sword|  2569|  prime minister|  3180|  sailing|  3625|  silver|  3799|  ship|  4235|  duke|  5938|  mermaid|  12988|  pirate|  13065|  soldier|  14643|  battle|  157186|  swashbuckler|  179430|  aftercreditsstinger|  209714|  3d,en,Pirates of the Caribbean: On Stranger Tides,Captain Jack Sparrow crosses paths with a woman from his past| and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge| the ship of the formidable pirate Blackbeard| Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.,135.413856, Walt Disney Pictures|  2|  Jerry Bruckheimer Films|  130|  Moving Picture Company (MPC)|  20478,14-05-2011,1045713802,136, en|  English|  es|  Espa\u00f1ol,Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000, 28|  Action|  35|  Comedy|  878|  Science Fiction,http://www.sonypictures.com/movies/meninblack3/,41154, 4379|  time travel|  5455|  time machine|  9951|  alien|  174915|  fictional government agency|  185668|  seeing the future|  208756|  changing history,en,Men in Black 3,Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black| but nothing| not even aliens| perplexes him as much as his wry| reticent partner. But when K's life and the fate of the planet are put at stake| Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner| the agency| and the future of humankind.,52.035179, Amblin Entertainment|  56|  Media Magik Entertainment|  5627|  Imagenation Abu Dhabi FZ|  6736|  Hemisphere Media Capital|  9169|  Parkes/MacDonald Productions|  11084,23-05-2012,624026776,106, en|  English,Released,They are back... in time.,Men in Black 3,6.2,4160
250000000, 28|  Action|  12|  Adventure|  14|  Fantasy,http://www.thehobbit.com/,122917, 417|  corruption|  603|  elves|  604|  dwarves|  606|  orcs|  609|  middle-earth (tolkien)|  611|  hobbit|  12554|  dragon|  14643|  battle|  167982|  unlikely friendship|  188270|  epic battle|  234213|  sword and sorcery,en,The Hobbit: The Battle of the Five Armies,Immediately after the events of The Desolation of Smaug| Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor| fueled by the rise of the dark lord Sauron. Dwarves| elves and men must unite| and the hope for Middle-Earth falls into Bilbo's hands.,120.965743, WingNut Films|  11|  New Line Cinema|  12|  Warner Bros. Pictures|  174|  3Foot7|  7413|  Metro-Goldwyn-Mayer (MGM)|  8411,10-12-2014,956019788,144, en|  English,Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000, 28|  Action|  12|  Adventure|  14|  Fantasy,http://www.theamazingspiderman.com,1930, 1872|  loss of father|  7002|  vigilante|  8803|  serum|  8828|  marvel comic|  156855|  scientific experiment|  158124|  spider bite|  158456|  masked vigilante|  161184|  reboot|  163455|  super powers|  163561|  genetic engineering|  171556|  social outcast|  179431|  duringcreditsstinger,en,The Amazing Spider-Man,Peter Parker is an outcast high schooler abandoned by his parents as a boy| leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers| Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father| he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors| his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego| The Lizard| Peter will make life-altering choices to use his powers and shape his destiny to become a hero.,89.866276, Columbia Pictures|  5|  Laura Ziskin Productions|  326|  Marvel Entertainment|  7505,27-06-2012,752215857,136, en|  English,Released,The untold story begins.,The Amazing Spider-Man,6.5,6586
200000000, 28|  Action|  12|  Adventure,http://www.robinhoodthemovie.com/,20662, 4147|  robin hood|  4393|  archer|  10466|  knight|  11525|  sherwood forest|  18101|  bow and arrow|  41406|  middle ages|  161257|  medieval|  186686|  king of england,en,Robin Hood,When soldier Robin happens upon the dying Robert of Loxley| he promises to return the man's sword to his family in Nottingham. There| he assumes Robert's identity; romances his widow| Marion; and draws the ire of the town's sheriff and King John's henchman| Godfrey.,37.668301, Imagine Entertainment|  23|  Universal Pictures|  33|  Scott Free Productions|  1645|  Relativity Media|  7295,12-05-2010,310669540,140, en|  English|  th|  \u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22,Released,Rise and rise again| until lambs become lions.,Robin Hood,6.2,1398
250000000, 12|  Adventure|  14|  Fantasy,http://www.thehobbit.com/,57158, 603|  elves|  604|  dwarves|  606|  orcs|  611|  hobbit|  12554|  dragon|  177912|  wizard|  234213|  sword and sorcery,en,The Hobbit: The Desolation of Smaug,The Dwarves| Bilbo and Gandalf have successfully escaped the Misty Mountains| and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon| Smaug.,94.370564, WingNut Films|  11|  New Line Cinema|  12|  Warner Bros. Pictures|  174|  Metro-Goldwyn-Mayer (MGM)|  8411,11-12-2013,958400000,161, en|  English,Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
180000000, 12|  Adventure|  14|  Fantasy,http://www.goldencompassmovie.com/index_german.html,2268, 392|  england|  1461|  compass|  1706|  experiment|  2596|  lordship|  6464|  uncle|  6678|  polar bear|  13014|  orphan|  18165|  animal|  223438|  based on young adult novel,en,The Golden Compass,After overhearing a shocking secret| precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North| unaware that it's part of her destiny.,42.990906, New Line Cinema|  12|  Ingenious Film Partners|  289|  Depth of Field|  1473|  Scholastic Productions|  1938,04-12-2007,372234864,113, is|  \u00cdslenska|  en|  English|  ru|  P\u0443\u0441\u0441\u043a\u0438\u0439|  fr|  Fran\u00e7ais,Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
207000000, 12|  Adventure|  18|  Drama|  28|  Action,0,254, 774|  film business|  776|  screenplay|  837|  show business|  886|  film making|  887|  film producer|  911|  exotic island|  1299|  monster|  1551|  indigenous|  3799|  ship|  12616|  dinosaur,en,King Kong,In 1933 New York| an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island| where they encounter Kong| a giant ape who is immediately smitten with the leading lady.,61.22601, WingNut Films|  11|  Universal Pictures|  33|  Big Primate Pictures|  68|  MFPV Film|  69,14-12-2005,550000000,187, en|  English,Released,The eighth wonder of the world.,King Kong,6.6,2337
200000000, 18|  Drama|  10749|  Romance|  53|  Thriller,http://www.titanicmovie.com,597, 2580|  shipwreck|  2984|  iceberg|  3799|  ship|  4210|  panic|  4388|  titanic|  4953|  ocean liner|  6917|  epic|  7579|  rich woman - poor man|  9673|  love|  10617|  disaster|  10703|  tragic love|  14514|  class differences|  156395|  imax|  165086|  star crossed lovers|  182615|  steerage|  182621|  salvage|  182625|  rich snob|  209714|  3d|  210184|  1910s,en,Titanic,84 years later| a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert| Brock Lovett| Lewis Bodine| Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912| on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother| Ruth DeWitt Bukater| and her fiancé| Caledon Hockley. Meanwhile| a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th| 1912 at 2:20 in the morning.,100.025899, Paramount Pictures|  4|  Twentieth Century Fox Film Corporation|  306|  Lightstorm Entertainment|  574,18-11-1997,1845034188,194, en|  English|  fr|  Fran\u00e7ais|  de|  Deutsch|  sv|  svenska|  it|  Italiano|  ru|  P\u0443\u0441\u0441\u043a\u0438\u0439,Released,Nothing on Earth could come between them.,Titanic,7.5,7562
250000000, 12|  Adventure|  28|  Action|  878|  Science Fiction,http://marvel.com/captainamericapremiere,271110, 393|  civil war|  6091|  war|  8828|  marvel comic|  9663|  sequel|  9715|  superhero|  9717|  based on comic book|  156395|  imax|  179430|  aftercreditsstinger|  179431|  duringcreditsstinger|  180547|  marvel cinematic universe|  209714|  3d,en,Captain America: Civil War,Following the events of Age of Ultron| the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers| causing two factions to side with Iron Man or Captain America| which causes an epic battle between former allies.,198.372395, Studio Babelsberg|  264|  Marvel Studios|  420|  Walt Disney Studios Motion Pictures|  3036|  Vita-Ray Dutch Productions (III)|  84424|  Deluxe Digital Studios|  84425,27-04-2016,1153304495,147, ro|  Rom\u00e2n\u0103|  en|  English|  de|  Deutsch|  ru|  P\u0443\u0441\u0441\u043a\u0438\u0439,Released,Divided We Fall,Captain America: Civil War,7.1,7241
209000000, 53|  Thriller|  28|  Action|  12|  Adventure|  878|  Science Fiction,0,44833, 1721|  fight|  4410|  u.s. navy|  11265|  mind reading|  12354|  hong kong|  13042|  soccer|  14760|  scientist|  14946|  fictional war|  160855|  naval|  160856|  armada|  160860|  battleship|  160861|  naval combat|  160865|  jds myoko|  160866|  lost communication|  160868|  taser|  160873|  buoy|  160875|  communications expert|  160876|  joint chiefs of staff|  160879|  crash landing|  160880|  jet fighter pilot|  160881|  navy lieutenant|  160884|  permission to marry|  160885|  uss john paul jones|  160887|  based on board game|  179430|  aftercreditsstinger|  227328|  mighty mo|  227329|  uss missouri,en,Battleship,When mankind beams a radio signal into space| a reply comes from ‘Planet G’| in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones| part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders| Hopper must also try to live up to the potential his brother| and his fiancée's father| Admiral Shane| expect of him.,64.928382, Universal Pictures|  33|  Hasbro|  2598|  Bluegrass Films|  13778|  Film 44|  20153,11-04-2012,303025485,131, en|  English|  th|  \u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22,Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114
150000000, 28|  Action|  12|  Adventure|  878|  Science Fiction|  53|  Thriller,http://www.jurassicworld.com/,135397, 1299|  monster|  1718|  dna|  1720|  tyrannosaurus rex|  1766|  velociraptor|  2041|  island|  9663|  sequel|  9937|  suspense|  10617|  disaster|  10685|  escape|  12616|  dinosaur|  155582|  amusement park|  158130|  animal attack|  158340|  theme park|  178010|  jurassic park|  209714|  3d|  223059|  animal horror,en,Jurassic World,Twenty-two years after the events of Jurassic Park| Isla Nublar now features a fully functioning dinosaur theme park| Jurassic World| as originally envisioned by John Hammond.,418.708552, Universal Studios|  13|  Amblin Entertainment|  56|  Legendary Pictures|  923|  Fuji Television Network|  3341|  Dentsu|  6452,09-06-2015,1513528810,124, en|  English,Released,The park is open.,Jurassic World,6.5,8662
200000000, 28|  Action|  12|  Adventure|  53|  Thriller,http://www.skyfall-movie.com,37724, 470|  spy|  4289|  secret agent|  9740|  sociopath|  15127|  killer|  15478|  art gallery|  156095|  british secret service|  156345|  istanbul turkey|  156395|  imax|  159932|  uzi|  163841|  booby trap|  185071|  impersonating a police officer|  185077|  macao,en,Skyfall,When Bond's latest assignment goes gravely wrong and agents around the world are exposed| MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory| the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out| M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent| Eve - following a trail to the mysterious Silva| whose lethal and hidden motives have yet to reveal themselves.,93.004993, Columbia Pictures|  5,25-10-2012,1108561013,143, en|  English,Released,Think on your sins.,Skyfall,6.9,7604
200000000, 28|  Action|  12|  Adventure|  14|  Fantasy,http://www.sonypictures.com/movies/spider-man2/,558, 851|  dual identity|  2038|  love of one's life|  5983|  pizza boy|  8828|  marvel comic|  9663|  sequel|  9715|  superhero|  13005|  doctor|  14760|  scientist|  14991|  tentacle|  34079|  death|  163074|  super villain,en,Spider-Man 2,Peter Parker is going through a major identity crisis. Burned out from being Spider-Man| he decides to shelve his superhero alter ego| which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime| Parker still can't act on his feelings for Mary Jane Watson| a girl he's loved since childhood.,35.149586, Columbia Pictures|  5|  Laura Ziskin Productions|  326|  Marvel Enterprises|  19551,25-06-2004,783766341,127, en|  English|  ru|  P\u0443\u0441\u0441\u043a\u0438\u0439|  zh|  \u666e\u901a\u8bdd,Released,There's a hero in all of us.,Spider-Man 2,6.7,4321
200000000, 28|  Action|  12|  Adventure|  878|  Science Fiction,http://marvel.com/ironman3,68721, 949|  terrorist|  5597|  war on terror|  6335|  tennessee|  8613|  malibu|  8828|  marvel comic|  9715|  superhero|  9717|  based on comic book|  12555|  tony stark|  173776|  iron man|  179430|  aftercreditsstinger|  180547|  marvel cinematic universe|  188721|  mandarin|  209714|  3d|  209748|  war machine|  209822|  iron patriot|  209823|  extremis,en,Iron Man 3,When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin| he starts an odyssey of rebuilding and retribution.,77.68208, Marvel Studios|  420,18-04-2013,1215439994,130, en|  English,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806
